도서명,장르,출판사,저자명,ISBN,한줄소개,줄거리,이미지,상세이미지,노출여부
템빨,3,(주)마야마루출판사,박새날,,"<책소개> 해석학자 서민혁. 평생 해석학을 연구했지만, 아무런 성과도 내지 못하고 죽었다. 하지만 과거로 돌아온 그가 눈을 떴을 때. 던전의 모든 언어가 해석되기 시작했다.","<책소개> 해석학자 서민혁. 평생 해석학을 연구했지만, 아무런 성과도 내지 못하고 죽었다. 하지만 과거로 돌아온 그가 눈을 떴을 때. 던전의 모든 언어가 해석되기 시작했다.",https://img.ridicdn.net/cover/2200038887/large,https://img.ridicdn.net/cover/2200038887/large,Y
신 고구려전기,3,JC미디어,풍아저씨,,"<책소개> 음악이 인생의 전부라 생각했던 시절이 있었다. 그러나, 다시 찾은 인생. 음악은 그저 내 인생의 일부였을 뿐. 깨달음을 얻는 순간, 음악이 나를 찾아왔다. 부와 예술과 ","<책소개> 음악이 인생의 전부라 생각했던 시절이 있었다. 그러나, 다시 찾은 인생. 음악은 그저 내 인생의 일부였을 뿐. 깨달음을 얻는 순간, 음악이 나를 찾아왔다. 부와 예술과 명성이 나를 따라다닌다. 클래식, 천재, 재벌, 회귀.",https://img.ridicdn.net/cover/3228020404/large,https://img.ridicdn.net/cover/3228020404/large,Y
재벌집 천재음악가가 되었다,3,문피아,돌킴,,<책소개> 소설 속 최종보스의 보좌관이 되었다. 소설의 결말 속에서 최종보스는 죽었지만 세상은 이미 개판이다. 그럼 애초에 최종보스가 엇나가지만 않으면 되잖아? 사람은 고쳐쓰는게 ,<책소개> 소설 속 최종보스의 보좌관이 되었다. 소설의 결말 속에서 최종보스는 죽었지만 세상은 이미 개판이다. 그럼 애초에 최종보스가 엇나가지만 않으면 되잖아? 사람은 고쳐쓰는게 아니라지만 달리 방법도 없으니 최종보스를 고쳐쓰자.,https://img.ridicdn.net/cover/425191604/large,https://img.ridicdn.net/cover/425191604/large,Y
"공작님, 회개해주세요!",3,글고운,별볆볆별명,,<책소개> [학원물] [환생] [빙의] [차원이동] [레이드] 환생자 소천마는 '소설 빙의물'에 빙의했다.,<책소개> [학원물] [환생] [빙의] [차원이동] [레이드] 환생자 소천마는 '소설 빙의물'에 빙의했다.,https://img.ridicdn.net/cover/3403002069/large,https://img.ridicdn.net/cover/3403002069/large,Y
환생이 빙의를 숨김,3,문피아,시샘나흘밤,,"<책소개> 지구에 의해 멸망할 위기에 처한 세상에서, 차원과 시간을 넘어 건너온 대마법사의 아이돌 일상물. 어떤 끝이 다가오는지 모른 채 하루하루를 사는 이곳 사람들처럼, ‘서한율","<책소개> 지구에 의해 멸망할 위기에 처한 세상에서, 차원과 시간을 넘어 건너온 대마법사의 아이돌 일상물. 어떤 끝이 다가오는지 모른 채 하루하루를 사는 이곳 사람들처럼, ‘서한율’의 삶을 살겠다. 이건 ‘그날’을 맞이하기 전 스스로에게 주는, 가식으로 둘러싼 휴식이자 유...",https://img.ridicdn.net/cover/425191617/large,https://img.ridicdn.net/cover/425191617/large,Y
지구를 멸망시키러 왔단다,3,라온E&M,순두부정신,,<책소개> 재벌가 장남은 가치를 본다.,<책소개> 재벌가 장남은 가치를 본다.,https://img.ridicdn.net/cover/1534098904/large,https://img.ridicdn.net/cover/1534098904/large,Y
재벌가 장남은 가치를 본다!,3,포텐,유재무,,"<책소개> 오른손 부상이 불러온 저조한 성장. 돈 없고 배고픈 하꼬 기타세션 인생. 그리고 문뜩 찾아온 죽음. “기타창” 회귀하고 나니, 천재 기타리스트가 되어 있었다.","<책소개> 오른손 부상이 불러온 저조한 성장. 돈 없고 배고픈 하꼬 기타세션 인생. 그리고 문뜩 찾아온 죽음. “기타창” 회귀하고 나니, 천재 기타리스트가 되어 있었다.",https://img.ridicdn.net/cover/1007041216/large,https://img.ridicdn.net/cover/1007041216/large,Y
천재 기타리스트가 되었다,3,에이시스미디어,터븀,,<책소개> 나는 고수지망생이었다. 무공에 입문한지 45년째. 강호에서 내 경지는 잘 쳐줘야 이류 일류의 경지는 꿈도 꾸지 못한 채 허름한 초막에서 육합검법이나 수련하는 신세. “재,<책소개> 나는 고수지망생이었다. 무공에 입문한지 45년째. 강호에서 내 경지는 잘 쳐줘야 이류 일류의 경지는 꿈도 꾸지 못한 채 허름한 초막에서 육합검법이나 수련하는 신세. “재능 없는 놈은 죽으란 말이냐? 그럼 죽겠다. 죽고 나서 또 다시 도전해주겠다. ...,https://img.ridicdn.net/cover/3076011589/large,https://img.ridicdn.net/cover/3076011589/large,Y
전생검신,3,루트미디어,구로수번,,"<책소개> 학연, 지연, 혈연의 천국인 대한민국. 아무것도 없이 맨몸으로 사회에 뛰어든 고졸 순경 김세민의 이야기.","<책소개> 학연, 지연, 혈연의 천국인 대한민국. 아무것도 없이 맨몸으로 사회에 뛰어든 고졸 순경 김세민의 이야기.",https://img.ridicdn.net/cover/2989001417/large,https://img.ridicdn.net/cover/2989001417/large,Y
고졸순경이 경찰청장 되기,3,고렘팩토리,해황,,"<책소개> 부상을 달고 살았던 비운의 천재 스트라이커. 요한은 결국 복귀전에서도 부상을 얻고 은퇴한다. 부상만 아니었어도... 다시 돌아간다면, 정말 제대로 할 수 있을 텐데! 그","<책소개> 부상을 달고 살았던 비운의 천재 스트라이커. 요한은 결국 복귀전에서도 부상을 얻고 은퇴한다. 부상만 아니었어도... 다시 돌아간다면, 정말 제대로 할 수 있을 텐데! 그러던 그에게 기적이 일어난다. ""강요한! 언제까지 잘 거야? 안 일어나? 학교...",https://img.ridicdn.net/cover/2107069560/large,https://img.ridicdn.net/cover/2107069560/large,Y
천재 스트라이커의 회귀,3,KW북스,플라이스,,"<책소개> ""할아버지, 도대체 무슨 물건을 물려주신 거예요?!"" 가문에서 대대로 전해 내려오던 보물. 이게 뭐라고? “진짜일 리가 없지. 이게 진짜라면 4백 년 동안 아무도 성공 ","<책소개> ""할아버지, 도대체 무슨 물건을 물려주신 거예요?!"" 가문에서 대대로 전해 내려오던 보물. 이게 뭐라고? “진짜일 리가 없지. 이게 진짜라면 4백 년 동안 아무도 성공 못 했을 리가 없어. 다 거짓말, 전해 내려오는 이야기일 뿐이야. 그리고 13대조...",https://img.ridicdn.net/cover/2057135991/large,https://img.ridicdn.net/cover/2057135991/large,Y
명군이 되어보세!,3,YADAM,슈타인호프,,<책소개> 일하기 싫어요,<책소개> 일하기 싫어요,https://img.ridicdn.net/cover/1561007225/large,https://img.ridicdn.net/cover/1561007225/large,Y
변방의 외노자,3,문피아,후로스트,,<책소개> 안타까운 역사라 한탄한 적도 있었다. 그러나 한탄은 사라지고 몸이 재산이라는 사실을 깨달았다. 그렇게 몸을 길러 나름 성공하였더니 이런 일이 일어나다니. “설마 아니겠지,"<책소개> 안타까운 역사라 한탄한 적도 있었다. 그러나 한탄은 사라지고 몸이 재산이라는 사실을 깨달았다. 그렇게 몸을 길러 나름 성공하였더니 이런 일이 일어나다니. “설마 아니겠지. 내가 꿈을 꾸는 거겠지. 이게 대체 뭐야.” 한때는 사학과를 나왔고, 피트니...",https://img.ridicdn.net/cover/425191587/large,https://img.ridicdn.net/cover/425191587/large,Y
근육조선,3,KW북스,차돌박E,,<책소개> 작곡가의 꿈을 포기한 장기로. 과거로 돌아왔더니...사람들에게서 멜로디가 들린다! #연예계 #음악 #프로듀서 #치트키,<책소개> 작곡가의 꿈을 포기한 장기로. 과거로 돌아왔더니...사람들에게서 멜로디가 들린다! #연예계 #음악 #프로듀서 #치트키,https://img.ridicdn.net/cover/2057136003/large,https://img.ridicdn.net/cover/2057136003/large,Y
