도서명,장르,출판사,저자명,ISBN,한줄소개 ,줄거리,이미지 ,상세이미지 ,노출여부 
유정강호,2,,우운화,,,,https://novel-phinf.pstatic.net/20180607_184/novel_1528339621753tEf81_JPEG/320_320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20180607_184/novel_1528339621753tEf81_JPEG/320_320.jpg?type=f150_118_2,Y
명검몽야,2,,매은,,,,https://novel-phinf.pstatic.net/20200428_205/novel_1588067181202LpbEP_JPEG/3202B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20200428_205/novel_1588067181202LpbEP_JPEG/3202B320.jpg?type=f150_118_2,Y
천하제일 대사형,2,,북미혼,,,,https://novel-phinf.pstatic.net/20180702_164/novel_1530504690186QAlq3_JPEG/new_320_320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20180702_164/novel_1530504690186QAlq3_JPEG/new_320_320.jpg?type=f150_118_2,Y
무극검신,2,,무하연,,,,https://novel-phinf.pstatic.net/20200330_175/novel_1585561764612abYnf_JPEG/3202B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20200330_175/novel_1585561764612abYnf_JPEG/3202B320.jpg?type=f150_118_2,Y
천하제일역졸,2,,gonnagetya,,,,https://novel-phinf.pstatic.net/20181226_212/novel_15458178232174SKVl_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20181226_212/novel_15458178232174SKVl_JPEG/320%2B320.jpg?type=f150_118_2,Y
겁(劫),2,,아스란화향,,,,https://novel-phinf.pstatic.net/20181030_139/novel_15408923097797hMjO_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20181030_139/novel_15408923097797hMjO_JPEG/320%2B320.jpg?type=f150_118_2,Y
"고인물, 무림에 가다",2,,갈드,,,,https://novel-phinf.pstatic.net/20201029_100/novel_1603975390213TADbl_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20201029_100/novel_1603975390213TADbl_JPEG/320%2B320.jpg?type=f150_118_2,Y
사상최강,2,,황규영,,,,https://novel-phinf.pstatic.net/20160901_203/novel_1472720359163emjTD_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20160901_203/novel_1472720359163emjTD_JPEG/320%2B320.jpg?type=f150_118_2,Y
패왕연가,2,,장영훈,,,,https://novel-phinf.pstatic.net/20150720_70/novel_1437385769843WjY5l_JPEG/ED8CA8EC9995EC97B0EAB080.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150720_70/novel_1437385769843WjY5l_JPEG/ED8CA8EC9995EC97B0EAB080.jpg?type=f150_118_2,Y
마왕,2,,요도 김남재,,,,https://novel-phinf.pstatic.net/20150720_248/novel_1437385761550CM4Jx_JPEG/mw.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150720_248/novel_1437385761550CM4Jx_JPEG/mw.jpg?type=f150_118_2,Y
장씨세가 호위무사,2,,조형근,,,,https://novel-phinf.pstatic.net/20150713_253/novel_1436788808735XO6Wh_JPEG/333315.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150713_253/novel_1436788808735XO6Wh_JPEG/333315.jpg?type=f150_118_2,Y
천하제일,2,,장영훈,,,,https://novel-phinf.pstatic.net/20150713_23/novel_1436783039351w4cLa_JPEG/14.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150713_23/novel_1436783039351w4cLa_JPEG/14.jpg?type=f150_118_2,Y
유령비객,2,,짚풀,,,,https://novel-phinf.pstatic.net/20170131_203/novel_1485848823707vmwLo_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20170131_203/novel_1485848823707vmwLo_JPEG/320%2B320.jpg?type=f150_118_2,Y
광풍마영,2,,매은,,,,https://novel-phinf.pstatic.net/20151230_1/novel_1451442714527wCjPM_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20151230_1/novel_1451442714527wCjPM_JPEG/320%2B320.jpg?type=f150_118_2,Y
무림체포전담조,2,,이윤아,,,,https://novel-phinf.pstatic.net/20160429_7/novel_1461900521758PHz3y_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20160429_7/novel_1461900521758PHz3y_JPEG/320%2B320.jpg?type=f150_118_2,Y
천마류혼기,2,,초벽,,,,https://novel-phinf.pstatic.net/20150713_154/novel_1436788675323NxrsK_JPEG/333312.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150713_154/novel_1436788675323NxrsK_JPEG/333312.jpg?type=f150_118_2,Y
세상 끝에서 온 무사,2,,천봉,,,,https://novel-phinf.pstatic.net/20151030_76/novel_1446192452164tTMIs_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20151030_76/novel_1446192452164tTMIs_JPEG/320%2B320.jpg?type=f150_118_2,Y
낙향문사전,2,,언라이팅 최현우,,,,https://novel-phinf.pstatic.net/20150720_219/novel_1437383162692n5fVT_JPEG/EB8299ED96A5EBACB8EC82ACECA084.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20150720_219/novel_1437383162692n5fVT_JPEG/EB8299ED96A5EBACB8EC82ACECA084.jpg?type=f150_118_2,Y
서문세가 대공자,2,,로토,,,,https://novel-phinf.pstatic.net/20171129_189/novel_1511948301365JI0Qn_JPEG/320%2B320.jpg?type=f150_118_2,https://novel-phinf.pstatic.net/20171129_189/novel_1511948301365JI0Qn_JPEG/320%2B320.jpg?type=f150_118_2,Y
